disti_item_number,maker_name,maker_knird_id,drink_name,format,size_format_id,drink_cost,drink_price,distributor_id,disti_item_number,disti_upc,min_quantity,regular_case_cost,current_case_cost,,,,,,,,,,
17521,Ground Breaker,50,CDA Seasonal,22oz bottles,5, 4.54 , 6.59 ,5,17521,8-12465-00066-8,12,54.5,54.5,,,,,,,,,,
17551,Ground Breaker,50,Pale Ale,22oz bottles,5, 4.20 , 6.08 ,5,17551,8-12465-00009-5,12,50.35,50.35,,,,,,,,,,
17525,Ground Breaker,50,Route IPA Seasonal,22oz bottles,5, 4.53 , 6.57 ,5,17525,0-00000-00000-0,12,54.4,54.4,,,,,,,,,,
17610,Ground Breaker,50,St. Denny Dubbel Seasonal,22oz bottles,5, 4.53 , 6.57 ,5,17610,8-12465-00051-4,12,54.4,54.4,,,,,,,,,,
17127,Ground Breaker,50,St. Denny Dubbel,1/6bbl,6, 95.00 , 137.75 ,5,17127,,1,95,95,,,,,,,,,,
17112,Ground Breaker,50,Dark Ale,1/6bbl,6, 95.00 , 137.75 ,5,17112,,1,95,95,,,,,,,,,,
17131,Ground Breaker,50,Hey Day Imperial IPA,1/6bbl,6, 95.00 , 137.75 ,5,17131,,1,95,95,,,,,,,,,,
17107,Ground Breaker,50,Ollalie,1/6bbl,6, 86.00 , 124.70 ,5,17107,,1,86,86,,,,,,,,,,
17118,Ground Breaker,50,IPA No. 5,30Ltr,7, 95.00 , 137.75 ,5,17118,,1,95,95,,,,,,,,,,
63015,La Socarrada,61,Er Boqueron,30ltr,7, 160.00 , 232.00 ,5,63015,,1,160,160,,,,,,,,,,
63035,La Socarrada,61,La Socarrada,30ltr,7, 220.00 , 319.00 ,5,63035,,1,220,220,,,,,,,,,,
72005,La Socarrada,61,Premium Artisanal Ale,330ml,10, 4.19 , 6.08 ,5,72005,8-54957-00229-3,20,83.86,83.86,,,,,,,,,,
17008,La Socarrada,61,Spigha Café Ole Porter,330ml,10, 3.84 , 5.57 ,5,17008,8-17611-01036-2,12,46.12,46.12,,,,,,,,,,
18110,La Socarrada,61,Valencia Saison,330ml,10, 4.19 , 6.08 ,5,18110,8-56247-00504-5,12,50.32,50.32,,,,,,,,,,
72000,La Socarrada,61,Premium Artisanal Ale,750ml,12, 9.79 , 14.20 ,5,72000,8-54957-00229-3,8,78.34,78.34,,,,,,,,,,
92059,Logsdon,64,Seizoen Bretta,375ml,2, 4.89 , 7.10 ,5,92059,6-10097-30619-2,12,58.72,58.72,,,,,,,,,,
18999,Logsdon,64,Szech 'n' Brett,375ml,2, 4.89 , 7.10 ,5,18999,6-53341-88339-1,12,58.72,58.72,,,,,,,,,,
91030,Logsdon,64,Kili Wit,375ml,2, 4.19 , 6.08 ,5,91030,6-10097-20246-3,12,50.32,50.32,,,,,,,,,,
